Network Name,MAC,IP,Status,Export to IP-MAC Binding,Description
LAN,90-09-D0-88-F9-97,192.168.1.10,TRUE,TRUE,NAS adkhempco
LAN,DC-A6-32-5D-F3-CF,192.168.1.11,TRUE,TRUE,NAS Monitor
LAN,5C-60-BA-36-36-39,192.168.1.12,TRUE,TRUE,Server
LAN,F4-39-09-24-45-9B,192.168.1.13,TRUE,TRUE,Work Desktop
LAN,A0-60-32-07-AA-15,192.168.1.20,TRUE,TRUE,Sample Cam
LAN,EC-71-DB-6B-7A-14,192.168.1.21,TRUE,TRUE,Proc Cam
LAN,EC-71-DB-B5-DC-59,192.168.1.22,TRUE,TRUE,Front Cam
LAN,EC-71-DB-05-1D-16,192.168.1.23,TRUE,TRUE,Hash Cam
LAN,80-f3-da-d3-a3-40,192.168.1.30,TRUE,TRUE,UbiBot Hash
LAN,80-f3-da-d3-97-10,192.168.1.31,TRUE,TRUE,UbiBot Drying
LAN,80-f3-da-d3-a3-50,192.168.1.32,TRUE,TRUE,UbiBot Grow 1
LAN,80-f3-da-d3-97-cc,192.168.1.33,TRUE,TRUE,UbiBot Grow 2
LAN,80-f3-da-d3-9d-48,192.168.1.34,TRUE,TRUE,UbiBot Mom Room
LAN,8c-4f-00-d1-ca-4c,192.168.1.35,TRUE,TRUE,UbiBot Processing

LAN.90-48-6C-BE-EA-22,192.168.1.40,TRUE,TRUE,Ring Chime
LAN,90-48-6C-13-EA-2B,192.168.1.41,TRUE,TRUE,Ring Doorbell


